상품명,판매건수,가격
봉투,12414,50
알뜰특란,5217,5300
백오이,4236,1490
바나나,3726,3900
야채,3372,0
애호박,3011,1490
켐벨포도,2783,29800
딸기,2384,0
대추방울,2116,7500
상추,2111,0
삼양)후레쉬우유,2042,1870
봉투,1961,30
양파(소),1911,2900
농심)신라면멀티,1844,3350
청양고추,1840,990
청과,1676,0
오)맛있는밥기획,1674,4450
느타리버섯,1649,1290
감귤,1569,29800
동양축산)하루한알(특란),1542,1850
감자,1519,0
남양)GT맛있는우유,1502,2380
풀)소가/찌개두부,1430,1100
새송이버섯,1420,1490
롯데)초코파이,1418,3700
대파,1410,2980
강릉심층수팩두부,1336,2000
부추,1315,5500
감귤,1266,4500
강릉초당)왕콩나물,1262,1950
삼립)쫄깃한식빵,1114,1850
대림)부산어묵(얇은),1096,1500
오)3분쇠고기카레,1088,1000
깐마늘,1067,0
풀)소가/부침두부,1062,1100
가지,1057,1490
양배추,1053,0
팽이버섯,1036,990
쌍용)후레시아물티슈(캡),1036,1750
오)양조식초,1011,1880
오)마일드참치,1004,2600
양상추,1003,3980
빙)메로나,968,640
장수)막걸리,956,990
얼갈이,952,3900
풀)액티비아컵(플레인),944,2350
광동)삼다수(대),909,1000
아삭이고추,901,1490
풀)소가통통신선란,876,3700
롯데)런천미트,836,3380
부사,836,9800
국산콩나물,833,1290
빙)비비빅,822,640
거봉,818,6900
한돈삼겹살(국내산),815,0
무우,813,1980
강릉초당)고소한두부(찌개용),804,1500
청포도,787,0
밤고구마,763,0
G부탄까스1줄,762,3980
깻잎,748,990
흙당근,744,0
동양축산)일품란,740,3550
세척당근,721,1500
백설)계란이왔어요,716,3350
백설)햇반기획상품,714,4600
유한)크리넥스데코,708,14900
대림)크라비아,704,2950
풀)액티비아컵(딸기),700,2350
삼부자)광천도시락김,692,5400
서울우유,691,2490
오)토마토케찹,690,1450
청피망,674,990
바나나,667,0
다진마늘,660,0
파프리카,652,1490
팔음산포도,648,19800
강릉초당)봉지두부,642,1500
광동)삼다수(소),640,500
오)3분쇠고기짜장,636,1000
삼양)후레쉬기획,633,3750
사과,632,0
청양고추,620,0
블루베리,620,2980
봉지사과,611,7900
칠성)아이시스8.0(대박스)),608,3980
시금치,600,2490
파프리카,597,0
그린키위,595,3500
토마토,593,0
동서)아몬드후레이크,586,4150
단호박,580,1490
참이슬후레쉬,574,1200
크)빅파이(딸기),571,3750
해찬들)사계절쌈장,570,4200
백설)부침가루,564,1700
백설)이탈리아스파게티면,554,2950
한국)사랑이가득한집,554,13500
코카)미닛홈오렌지,552,3150
복숭아,547,0
특수야채류,546,0
풀)부산순야채어묵,544,1400
한돈목살구이(국내산),543,0
풀)꽃게짬뽕라면,536,5850
코카)미닛알로에,534,2980
켐벨포도,533,0
빙)카페오레,527,640
칠성)칠성사이다기획번들,516,4200
한우양지국거리(국내산),511,0
롯)크런치,511,640
롯데)베이컨,510,4980
크린백(중）25*35,502,2250
오징어,500,0
처음처럼,497,1200
돼지찌게,494,0
대림)쌈무와사비맛,492,2550
빙)요맘때(딸기),492,640
비비고)왕교자,486,9400
일회용종이컵1줄,485,650
빙)굿모닝우유,484,1980
롯데)요구르트,484,1000
온동네광천파래재래김(전장),472,2550
해표)고소한참기름,470,6750
쌈배추,452,2150
롯데)돼지바,451,640
햇살드린쌀,447,49800
롯데)와일드바디,446,640
펭귄)꽁치,444,3150
롯데)월드콘(바닐라),442,1040
미나리,441,0
오리온)촉촉한초코칩,440,6200
빙)캔디바,440,640
순천미나리,433,990
깐양파,431,0
마산몽고진간장,431,5800
아침두부,429,1000
롯데)마가렛트,427,4750
롯데)초코퍼지,424,640
켈로그)콘푸로스트,424,7200
해표)카놀라유,422,5600
대림)쌈무새콤한맛,420,2550
숙주,418,0
짭짤이토마토,418,0
백설)숯불갈비후랑크,417,1900
펭귄)황도이절,416,2150
빙)요맘때(플레인),411,640
CJ)행복한콩(고소부침),408,1480
손수)정성가득쌀떡국,408,3150
빙)생귤탱귤,399,640
롯데)제주사랑감귤사랑,398,4700
동양축산)백세건강란(특란),398,4350
대림)주부초밥짱,396,3850
삼양)불닭볶음면(치즈),396,5450
빙)쿠앤크,396,640
청경채,395,0
찰옥수수,394,1980
열무,390,5900
한성)런천미트,390,1850
백설)알짜란,388,5100
코카)미닛홈자몽,384,3150
동서)맥심모카골드믹스,384,16500
참외,384,0
롯데)죠스,372,640
하림)닭복음탕용,372,5500
레드글로브,371,0
서울)체다치즈,368,6980
신고배,360,2900
CJ)행복한콩(고소찌게),360,1480
종가)맛김치,358,4950
백설)식용유(콩기름),358,5980
백설)한입쏙비엔나,357,1550
황도복숭아,355,0
해)킨사이다,352,2250
미닛메이드토마토,348,2980
아이순,343,0
해태)레몬에이드,340,2350
하림)닭가슴살,339,5500
메타콘초코,339,1040
롯데)비피더스사과,338,3980
롯데)스쿠류,337,640
새송이버섯,334,0
청)건강생각슬라이스햄,332,2450
동서)맥심모카골드믹스,330,23800
칠갑)찰꼬마떡볶이,330,3050
CJ)햇반컵반(미역),326,3150
롯)초코파이,326,3500
농심)찰비빔면,325,4150
백설)발아현미밥,324,4850
브로커리,322,0
깐대파,321,0
백설)압착올리브유,320,12800
롯데)비피더스포도,319,3980
애경)순샘허브녹차리필,317,3750
유동)번데기,316,1200
롯데)옥동자,315,640
단감,312,4500
샘표)소면,312,2900
수입대패삼겹살,309,0
빙)쿠앤크초코,307,640
백설)김밥김,306,2200
