상품명,판매건수,가격
봉투,11671,50
야채,3872,0
백오이,3809,1490
대추방울,3788,7500
바나나,3449,3900
애호박,2252,1490
알뜰특란,2215,5300
청과,2161,0
삼양)후레쉬기획,2067,3750
토마토,1974,42000
봉투,1938,30
가지,1884,1490
양파(소),1736,2900
상추,1735,0
오)맛있는밥기획,1612,4450
동양축산)하루한알(특란),1604,1850
청양고추,1602,990
감자,1579,0
수박,1571,0
느타리버섯,1370,1290
풀)소가/찌개두부,1362,1100
대파,1359,2980
블루베리,1330,2980
영양판란,1270,6980
백도복숭아,1221,0
쌍용)후레시아물티슈(캡),1182,1750
강릉초당)왕콩나물,1180,1950
대림)부산어묵(얇은),1160,1500
풀)소가/부침두부,1140,1100
오)마일드참치,1078,2600
장수)막걸리,1070,990
부추,1068,5500
남양)GT맛있는우유,1067,2380
광동)삼다수(대),1043,1000
농심)안성탕면멀티,1024,3250
양배추,1011,0
부사,990,9800
오)3분쇠고기카레,986,1000
아삭이고추,982,1490
바나나,980,0
대림)크라비아,956,2950
무우,938,1980
...,936,1980
파프리카,927,0
풀)액티비아컵(플레인),906,2350
복숭아,903,0
흙당근,899,0
새송이버섯,898,1490
강릉초당)고소한두부(찌개용),886,1500
팽이버섯,876,990
서울우유,857,2490
동양축산)일품란,850,3550
풀)소가통통신선란,846,3700
양상추,843,3980
깐마늘,832,0
백설)계란이왔어요,818,3350
봉지사과,738,7900
깻잎,735,990
파프리카,731,1490
광동)삼다수(소),724,500
빙)메로나,717,640
롯데)제주감귤,709,2350
백설)맛있는콩두부(찌개),694,1180
방울토마토,681,0
종가)맛김치,668,4950
백설)햇반기획상품,666,4600
백설)발아현미밥,662,4850
강릉초당)봉지두부,662,1500
풀)액티비아컵(딸기),644,2350
오징어,644,0
다진마늘,643,0
토마토,642,0
청양고추,634,0
백설)숯불갈비후랑크,628,1900
백설)맛있는콩두부(부침),622,1180
밤고구마,620,0
빙)비비빅,620,640
해찬들)사계절쌈장,618,4200
오)3분쇠고기짜장,616,1000
오)소면,604,2980
둥근호박,580,990
참이슬후레쉬,580,1200
칠성)칠성사이다기획번들,577,4200
풀)부산순야채어묵,576,1400
특수야채류,565,0
쌈배추,561,2150
백설)햇반흑미밥,548,4850
해)킨사이다,546,2250
농심)신라면멀티,537,3350
롯데)베이컨,528,4980
코카)콜라기획번들,524,4600
강릉심층수팩두부,510,2000
감귤,510,4500
크린백(중）25*35,509,2250
빙)굿모닝우유,504,1980
청포도,501,0
처음처럼,497,1200
롯데)스쿠류,485,640
한돈삼겹살(국내산),483,0
...,482,990
사조)살코기참치기획,480,4750
켐벨포도,473,29800
한우양지국거리(국내산),467,0
감귤,466,29800
빙)쥬시쿨(자두),461,980
온동네광천파래도시락김,456,4450
거봉,456,6900
켈로그)콘푸로스트,454,7200
롯데)요구르트,449,1000
동서)아몬드후레이크,448,4150
롯데)돼지바,444,640
연시,444,2900
백설)정백당,442,5300
백설)이탈리아스파게티면,440,2950
황도복숭아,440,0
빙)쥬시쿨(파인),431,980
백설)한입쏙비엔나,430,1550
돼지찌게,427,0
애호박,427,0
롯데)옥동자,427,640
온동네광천파래돌자반,424,2150
성주참외,423,8900
한성)런천미트,418,1850
해표)식용유,414,5650
수입대패삼겹살,414,0
참외,413,0
백설)행콩찌개,412,2150
롯데)빈츠,410,3550
녹차콩나물,409,1000
대림)안심삼계탕,402,8700
해표)고소한참기름,396,6750
롯데)죠스,394,640
단호박,390,1490
시금치,390,2490
농심)육개장사발면(6입),386,4500
동양축산)백세건강란(특란),384,4350
삼육)콩국물,384,3550
남양)저지방고칼슘,383,2750
백설)켄터키후랑크,382,2150
크라운)버터와플,381,4250
국산콩나물,378,1290
양송이버섯,370,0
팔음산포도,369,19800
비비고)왕교자,368,9400
백설)알짜란,366,5100
한돈목살구이(국내산),363,0
깐양파,362,0
백설)부침가루,359,1700
하림)닭복음탕용,357,5500
빙)쥬시쿨(복숭아),357,980
하림)닭가슴살,356,5500
얼갈이,354,3900
백설)중백당,352,6650
거봉,352,4900
거봉,343,29800
자반,339,0
꽈리고추,339,0
남양)GT저지방우유,337,2750
켈로그)리얼그래놀라,334,8950
CJ)더안심건강란,334,5800
롯)카스타드,327,4550
숙주,323,0
동원)황도슬라이스,322,1800
찰옥수수,322,1980
서울)저지방우유,321,2750
모나리자)순수데코3겹,316,15800
한성)비바크부어스트,312,4650
백설)행복한부침두부,312,2250
세척당근,310,1500
해표)카놀라유,309,5600
자두,308,0
신고배,308,2900
청)옛날소시지,306,1550
크라운)참크래커,304,2980
영양부추,302,1290
롯데)비엔나기획,301,4750
서울)요구르트,297,1980
백설)김밥김,296,2200
칠성)아이시스8.0(대박스)),295,3980
아침두부,294,1000
해태)평창수(대),294,800
남양)날씬한무지방,292,2850
롯)누크바(땅콩),291,640
대림)주부초밥짱,287,3850
팔도)비빔면멀티,286,3950
소와나무)체다치즈,284,4250
얼갈이,282,0
칠갑)찰꼬마떡볶이,282,3050
델몬트)오렌지100플러스,280,2500
머루포도,278,24900
청)순창쌈장(사각),278,1980
청)카레의여왕치킨,275,2380
풀)꽃게짬뽕라면,274,5850
롯데)메가톤,273,640
청)건강생각슬라이스햄,272,2450
청)런천미트칼슘,272,3980
깨나라키친타올,270,5800
롯데)비피더스사과,270,3980
한돈불고기(국내산),268,0
한돈다짐육(국내산),267,0
