상품명,판매건수,가격
봉투,12133,50
백오이,4523,1490
야채,3935,0
대추방울,3915,7500
바나나,3500,3900
애호박,3086,1490
상추,2099,0
봉투,2026,30
청과,1910,0
동양축산)하루한알(특란),1838,1850
양파(소),1773,2900
남양)GT맛있는우유,1676,2380
감자,1671,0
청양고추,1604,990
오)맛있는밥기획,1490,4450
알뜰특란,1483,5300
블루베리,1483,2980
강릉초당)왕콩나물,1466,1950
풀)소가/찌개두부,1462,1100
느타리버섯,1426,1290
삼양)후레쉬기획,1375,3750
대파,1331,2980
바나나,1328,0
가지,1268,1490
풀)소가/부침두부,1224,1100
쌍용)후레시아물티슈(캡),1196,1750
영양판란,1154,6980
대림)부산어묵(얇은),1116,1500
오)마일드참치,1104,2600
새송이버섯,1091,1490
농심)너구리얼큰멀티,1074,3880
장수)막걸리,1036,990
백도복숭아,1029,0
광동)삼다수(대),1021,1000
오)3분쇠고기카레,1000,1000
풀)액티비아컵(플레인),996,2350
토마토,995,42000
부추,975,5500
깐마늘,974,0
부사,971,9800
양배추,962,0
강릉초당)고소한두부(찌개용),958,1500
아삭이고추,943,1490
팽이버섯,907,990
농심)신라면멀티,904,3350
수박,897,0
청포도,890,0
파프리카,878,1490
동양축산)일품란,870,3550
흙당근,864,0
서울우유,830,2490
양상추,821,3980
백설)계란이왔어요,812,3350
백설)맛있는콩두부(찌개),812,1180
파프리카,804,0
풀)액티비아컵(딸기),802,2350
풀)소가통통신선란,800,3700
깻잎,792,990
대림)크라비아,792,2950
켐벨포도,790,29800
무우,785,1980
밤고구마,751,0
광동)삼다수(소),750,500
백설)맛있는콩두부(부침),736,1180
감귤,718,4500
복숭아,706,0
봉지사과,681,7900
오)3분쇠고기짜장,680,1000
농심)찰비빔면,678,4150
백설)숯불갈비후랑크,678,1900
다진마늘,676,0
참외,672,0
롯데)제주감귤,670,2350
한돈삼겹살(국내산),669,0
얼갈이,658,3900
감귤,644,29800
청양고추,638,0
풀)부산순야채어묵,630,1400
펭귄)황도이절,627,2150
빙)메로나,622,640
칠성)칠성사이다기획번들,616,4200
청피망,600,990
강릉초당)봉지두부,593,1500
롯데)요구르트,592,1000
백설)발아현미밥,586,4850
특수야채류,585,0
백설)햇반기획상품,582,4600
세척당근,582,1500
토마토,580,0
코카)미닛홈오렌지,565,3150
백설)부침가루,561,1700
해찬들)사계절쌈장,552,4200
켐벨포도,548,0
강릉심층수팩두부,548,2000
참이슬후레쉬,545,1200
빙)비비빅,540,640
시금치,540,2490
백설)햇반흑미밥,533,4850
오징어,530,0
해표)고소한참기름,520,6750
종가)맛김치,518,4950
쌈배추,516,2150
롯데)베이컨,515,4980
처음처럼,514,1200
한우양지국거리(국내산),508,0
백설)한입쏙비엔나,507,1550
빙)굿모닝우유,501,1980
돼지찌게,498,0
삼부자)광천도시락김,490,5400
국산콩나물,483,1290
동서)아몬드후레이크,474,4150
성주참외,473,8900
크린백(중）25*35,470,2250
동양축산)백세건강란(특란),456,4350
백설)이탈리아스파게티면,454,2950
백설)알짜란,430,5100
사과,425,0
한돈목살구이(국내산),422,0
방울토마토,422,0
오)소면,421,2980
하림)닭가슴살,418,5500
크)국희땅콩샌드,413,3750
사조)살코기참치기획,408,4750
해태)아이비,406,3200
깐양파,401,0
온동네광천파래재래김(전장),401,2550
롯데)런천미트,398,3380
해)킨사이다,396,2250
수입대패삼겹살,396,0
아침두부,390,1000
신고배,389,2900
한성)런천미트,384,1850
대림)주부초밥짱,382,3850
한성)평양물냉면,376,4150
대림)쌈무새콤한맛,370,2550
코카)미닛홈자몽,370,3150
롯데)갸또쇼콜라,370,3950
빙)캔디바,370,640
하림)닭복음탕용,359,5500
자반,358,0
브로커리,358,0
빙)요플레플레인(화이트),357,3150
풀)꽃게짬뽕라면,354,5850
한성)런천미트,352,2650
단호박,348,1490
손수)정성가득쌀떡국,348,3150
롯데)엄마손파이,347,4800
백설)압착올리브유,346,12800
롯데)돼지바,344,640
칠갑)찰꼬마떡볶이,344,3050
양파(중),341,4200
황도복숭아,341,0
숙주,341,0
청)건강생각슬라이스햄,340,2450
레드글로브,339,0
열무,339,5900
딸기,337,0
칠성)아이시스8.0(대박스)),335,3980
둥근호박,333,990
온동네광천파래돌자반,326,2150
오)토마토케찹,325,1450
레몬,325,0
서울)저지방우유,313,2750
해표)카놀라유,312,5600
한돈오겹살(국내산),311,0
팔도)비빔면멀티,310,3950
빙)키위아작,309,560
표고버섯,308,0
깐대파,308,0
완숙토마토,307,0
한우 꽃등심(국내산),306,0
롯데)스쿠류,304,640
대림)국물떡볶이,302,2550
찰옥수수,302,1980
한돈등심/카레(국내산),301,0
빙)쿠앤크,300,640
아이순,299,0
청)옛날소시지,298,1550
롯데)초코퍼지,298,640
양파,297,0
마산몽고진간장,296,5800
농심)육개장사발면,291,750
롯데)옥동자,288,640
거봉,287,6900
오리온)후레쉬베리(딸기),286,4600
한성)비바크부어스트,285,4650
CJ)햇반컵반(미역),282,3150
한돈다짐육(국내산),280,0
코카콜라PET,280,2690
감귤,279,28000
켈로그)콘푸로스트,278,7200
코카콜라캔,278,890
한국)대박나는집,275,14300
청)순창쌈장(사각),274,1980
펭귄)꽁치,274,3150
백설)켄터키후랑크,274,2150
바지락,273,0
양파(대),273,8900
일회용종이컵1줄,272,650
미나리,270,0
