상품명,판매건수,가격
봉투,12362,50
바나나,4285,3900
야채,4190,0
켐벨포도,2780,29800
알뜰특란,2768,5300
딸기,2234,0
팔음산포도,2161,19800
봉투,2038,30
애호박,1962,1490
청양고추,1901,0
상추,1695,0
오)맛있는밥기획,1689,4450
대파,1687,2980
양파(소),1655,2900
강릉초당)왕콩나물,1529,1950
백오이,1500,1490
블루베리,1498,2980
느타리버섯,1497,1290
청과,1458,0
무우,1408,1980
삼양)후레쉬기획,1361,3750
감자,1344,0
봉지깻잎,1233,1500
동양축산)하루한알(특란),1232,1850
바나나,1213,0
백설)계란이왔어요,1198,3350
양배추,1183,0
깨나라)오곡물티슈(캡),1160,1750
오)3분쇠고기카레,1156,1000
팽이버섯,1080,990
거봉,1013,6900
새송이버섯,1009,1490
동양축산)일품란,992,3550
대림)부산어묵(얇은),989,1500
강릉초당)고소한두부(찌개용),947,1500
대추방울,936,7500
사조)살코기참치기획,916,4750
녹차콩나물,907,1000
광동)삼다수(대),899,1000
장수)막걸리,897,990
깐마늘,852,0
매일)ESL우유,850,2380
부사,844,9800
청양고추,842,990
강릉초당)봉지두부,822,1500
감귤,819,0
오)토마토케찹,786,1450
한우양지국거리(국내산),777,0
오)3분쇠고기짜장,764,1000
깻잎,743,990
풀)소가/찌개두부,741,1100
생굴,734,0
서울우유,726,2490
밤고구마,720,0
빙)굿모닝우유,710,1980
쌈배추,708,2150
얼갈이,708,3900
다진마늘,696,0
봉지사과,690,7900
삼부자)광천도시락김,686,5400
오징어,684,0
크라운)참크래커,678,2980
그린키위,676,3500
CJ)행복한콩(고소부침),674,1480
CJ)행복한콩(고소찌게),670,1480
동양축산)백세건강란(특란),670,4350
세척당근,664,1500
돼지찌게,659,0
토마토,657,0
한돈삼겹살(국내산),654,0
흙당근,654,0
남양)GT맛있는우유,637,2380
봄동,636,0
롯데)제주감귤,632,2350
풀)소가/부침두부,631,1100
농심)신라면멀티,610,3350
처음처럼,606,1200
부추,602,5500
대림)크라비아,588,2950
숙주,584,0
참이슬후레쉬,583,1200
한성)런천미트,582,2650
롯데)베이컨,581,4980
손수)정성가득쌀떡국,580,3150
백설)햇반기획상품,577,4600
동원)마일드참치,576,2250
오)마일드참치,572,2600
아삭이고추,565,1490
삼양)갓짬뽕,564,5400
켐벨포도,552,0
롯데)런천미트,529,3380
특수야채류,520,0
양상추,514,3980
사과,510,0
아침두부,505,1000
농심)너구리얼큰멀티,500,3880
섬초,496,0
풀)액티비아컵(플레인),488,2350
백설)이탈리아스파게티면,488,2950
CJ)얇은사각어묵,487,1500
하림닭도리탕(국내산),481,0
한돈목살구이(국내산),478,0
펭귄)꽁치,476,3150
오리온)초코칩번들,474,4100
브로컬리,462,1980
광동)삼다수(소),459,500
단호박,448,1490
풀)액티비아컵(딸기),446,2350
강릉심층수팩두부,444,2000
동원)스위트콘,440,1550
미닛)오렌지100,440,2950
허니미니꿀호떡,439,1000
백설)진한참기름,435,5980
동서)아몬드후레이크,432,4150
칠갑)찰꼬마떡볶이,428,3050
백설)찹쌀호떡믹스,428,4450
롯데)비엔나기획,420,4750
영양부추,419,1290
청포도,418,0
깐양파,409,0
청경채,403,0
롯데)요구르트,402,1000
깐대파,399,0
켈로그)콘푸로스트,398,7200
신고배,393,2900
온동네)광천파래도시락김,388,2950
양배추,387,4500
닭가슴살(국내산),383,0
동서)맥심모카골드믹스,380,23800
크린백(중）25*35,378,2250
파프리카,377,1490
한성)비바크부어스트,374,4650
시래기,372,0
목우촌)교자만두,372,8150
삼립)호빵(단팥6p),372,4600
CJ)안심종합어묵,364,4250
칠성)아이시스8.0(대박스)),363,3980
농심)사리곰탕멀티,360,4100
칠갑)순쌀떡국,358,4880
목우촌)뚝심,358,5980
송학)쌀떡,354,3250
대림)국물떡볶이,334,2550
표고버섯,333,0
백설)맛밤패밀리팩,324,7950
농심)육개장사발면,323,750
오)진짬뽕,319,5600
사조)고추참치기획,316,4750
감귤,315,4500
사조)마일드참치기획,312,4750
종가)맛김치,312,4950
풀)하루에한알,309,3750
농심)안성탕면멀티,309,3250
해태)오예스,305,3800
풀)부산순야채어묵,305,1400
오)옛날사골곰탕,303,1000
해)킨사이다,302,2250
코카)미닛알로에,302,2980
롯)엔네이처프랑크,300,6950
백설)알짜란,298,5100
해)오예스(딸기),298,3800
한돈등심/카레(국내산),297,0
감귤,297,29800
호박고구마,295,0
일회용종이컵1줄,295,650
백설)녹차찹쌀호떡믹스,294,4450
수입대패삼겹살,294,0
미니파프리카,289,2980
양파(중),288,4200
진주포차순대,287,2980
삼양)갓짜장,287,5400
한성)해물우동,286,1450
해표)식용유,284,5650
한돈오겹살(국내산),282,0
건미역(산모용),281,3800
백설)부침가루,280,2580
대림)야채김자반기획,280,2850
롯)카스타드,280,4550
미나리,280,0
코카콜라캔,279,890
생강,277,0
한성)미니윈너,274,4350
한성)튀김우동,266,1450
미닛)망고100,266,2950
파프리카,265,0
꼬막,264,0
한돈불고기(국내산),261,0
풀)국산콩나물,260,2100
코카콜라PET,260,2690
삼립)호빵(단팥야채),260,5500
롯데)갸또쇼콜라,259,3950
황도복숭아,258,0
CJ)주부초밥왕(소풍),256,3750
온동네광천파래재래김(전장),255,2550
새송이버섯,255,0
CJ)행콩나물,253,1950
바지락,253,0
해표)카놀라유,253,5600
오)자른당면,252,5850
롯데)알뜰소시지,252,4400
"한돈앞다리/불고기,찌개(국내산)",252,0
